PC=000001b4, [fee42423], x08=00500000, x08=00500000, x14=00000007 sw       a4, -24(s0)
PC=000001b8, [fef42623], x12=00000006, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=000001bc, [fe640783], x15=00000001, x08=00500000, x06=00000000 lb       a5, s0, -26
PC=000001c0, [0ff7f793], x15=00000001, x15=00000001, x31=00000000 andi     a5, a5, 255
PC=000001c4, [00178793], x15=00000002, x15=00000001, x01=00000108 addi     a5, a5, 1
PC=000001c8, [0ff7f793], x15=00000002, x15=00000002, x31=00000000 andi     a5, a5, 255
PC=000001cc, [fef40323], x06=00000000, x08=00500000, x15=00000002 sb       a5, -26(s0)
PC=000001d0, [fe640703], x14=00000002, x08=00500000, x06=00000000 lb       a4, s0, -26
PC=000001d4, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=000001d8, [fae7dae3], x21=00000000, x15=00000004, x14=00000002 bge      a5, a4, -76
PC=0000018c, [fe842603], x12=00000007, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=00000190, [fec42683], x13=00000000, x08=00500000, x12=00000007 lw       a3, s0, -20
PC=00000194, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000198, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=0000019c, [00a60733], x14=00000008, x12=00000007, x10=00000001 add      a4, a2, a0
PC=000001a0, [00070813], x16=00000008, x14=00000008, x00=00000000 addi     a6, a4, 0
PC=000001a4, [00c83833], x16=00000000, x16=00000008, x12=00000007 sltu     a6, a6, a2
PC=000001a8, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=000001ac, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=000001b0, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=000001b4, [fee42423], x08=00500000, x08=00500000, x14=00000008 sw       a4, -24(s0)
PC=000001b8, [fef42623], x12=00000007, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=000001bc, [fe640783], x15=00000002, x08=00500000, x06=00000000 lb       a5, s0, -26
PC=000001c0, [0ff7f793], x15=00000002, x15=00000002, x31=00000000 andi     a5, a5, 255
PC=000001c4, [00178793], x15=00000003, x15=00000002, x01=00000108 addi     a5, a5, 1
PC=000001c8, [0ff7f793], x15=00000003, x15=00000003, x31=00000000 andi     a5, a5, 255
PC=000001cc, [fef40323], x06=00000000, x08=00500000, x15=00000003 sb       a5, -26(s0)
PC=000001d0, [fe640703], x14=00000003, x08=00500000, x06=00000000 lb       a4, s0, -26
PC=000001d4, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=000001d8, [fae7dae3], x21=00000000, x15=00000004, x14=00000003 bge      a5, a4, -76
PC=0000018c, [fe842603], x12=00000008, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=00000190, [fec42683], x13=00000000, x08=00500000, x12=00000008 lw       a3, s0, -20
PC=00000194, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000198, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=0000019c, [00a60733], x14=00000009, x12=00000008, x10=00000001 add      a4, a2, a0
PC=000001a0, [00070813], x16=00000009, x14=00000009, x00=00000000 addi     a6, a4, 0
PC=000001a4, [00c83833], x16=00000000, x16=00000009, x12=00000008 sltu     a6, a6, a2
PC=000001a8, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=000001ac, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=000001b0, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=000001b4, [fee42423], x08=00500000, x08=00500000, x14=00000009 sw       a4, -24(s0)
PC=000001b8, [fef42623], x12=00000008, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=000001bc, [fe640783], x15=00000003, x08=00500000, x06=00000000 lb       a5, s0, -26
PC=000001c0, [0ff7f793], x15=00000003, x15=00000003, x31=00000000 andi     a5, a5, 255
PC=000001c4, [00178793], x15=00000004, x15=00000003, x01=00000108 addi     a5, a5, 1
PC=000001c8, [0ff7f793], x15=00000004, x15=00000004, x31=00000000 andi     a5, a5, 255
PC=000001cc, [fef40323], x06=00000000, x08=00500000, x15=00000004 sb       a5, -26(s0)
PC=000001d0, [fe640703], x14=00000004, x08=00500000, x06=00000000 lb       a4, s0, -26
PC=000001d4, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=000001d8, [fae7dae3], x21=00000000, x15=00000004, x14=00000004 bge      a5, a4, -76
PC=0000018c, [fe842603], x12=00000009, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=00000190, [fec42683], x13=00000000, x08=00500000, x12=00000009 lw       a3, s0, -20
PC=00000194, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000198, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=0000019c, [00a60733], x14=0000000a, x12=00000009, x10=00000001 add      a4, a2, a0
PC=000001a0, [00070813], x16=0000000a, x14=0000000a, x00=00000000 addi     a6, a4, 0
PC=000001a4, [00c83833], x16=00000000, x16=0000000a, x12=00000009 sltu     a6, a6, a2
PC=000001a8, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=000001ac, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=000001b0, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=000001b4, [fee42423], x08=00500000, x08=00500000, x14=0000000a sw       a4, -24(s0)
PC=000001b8, [fef42623], x12=00000009, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=000001bc, [fe640783], x15=00000004, x08=00500000, x06=00000000 lb       a5, s0, -26
PC=000001c0, [0ff7f793], x15=00000004, x15=00000004, x31=00000000 andi     a5, a5, 255
PC=000001c4, [00178793], x15=00000005, x15=00000004, x01=00000108 addi     a5, a5, 1
PC=000001c8, [0ff7f793], x15=00000005, x15=00000005, x31=00000000 andi     a5, a5, 255
PC=000001cc, [fef40323], x06=00000000, x08=00500000, x15=00000005 sb       a5, -26(s0)
PC=000001d0, [fe640703], x14=00000005, x08=00500000, x06=00000000 lb       a4, s0, -26
PC=000001d4, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=000001d8, [fae7dae3], x21=00000000, x15=00000004, x14=00000005 bge      a5, a4, -76
PC=000001dc, [fe040323], x06=00000000, x08=00500000, x00=00000000 sb       zero, -26(s0)
PC=000001e0, [fe041223], x04=00000000, x08=00500000, x00=00000000 sh       zero, -28(s0)
PC=000001e4, [0400006f], x00=00000000, x00=00000000, x00=00000000 jal      zero, 64
PC=00000224, [fe445703], x14=00000000, x08=00500000, x04=00000000 lhu      a4, s0, -28
PC=00000228, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000022c, [fae7fee3], x29=00000000, x15=00000004, x14=00000000 bgeu     a5, a4, -68
PC=000001e8, [fe842603], x12=0000000a, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=000001ec, [fec42683], x13=00000000, x08=00500000, x12=0000000a lw       a3, s0, -20
